author,content,country,date,id,rating,title,version,vote_count,vote_sum
lllsmagenlll,"I’ve been using this app for a while now, and I’m really impressed! It’s easy to use, reliable, and does exactly what it promises. The design is clean and intuitive, making it simple to navigate even for first-time users. I also appreciate how smoothly it runs—no crashes or glitches so far. The features are well thought out and genuinely make a difference in my daily routine. Highly recommend.",us,2026-01-18T18:05:49-07:00,13649978240,5,Great,20.2.0,0,0
Nay Stroughter,It works like a charm. I’ve had no problems since I’ve been using it because my printer won’t automatically connect to my tablet no matter what I try. Love this app.,us,2026-01-18T16:51:13-07:00,13649787328,5,Great App,20.2.0,0,0
Getting_there2025,I tried to print a 4x6 photo and it won’t register that the paper is loaded. It keeps printing on 8x11 paper. Worse printer I’ve ever had,us,2026-01-18T15:46:50-07:00,13649625772,1,Printer is terrible,20.2.0,0,0
JenifeAB,Me encanta mucho es súper práctico,us,2026-01-18T15:11:13-07:00,13649536705,5,Excelente calidad,20.2.0,0,0
EMIL5597,Great Printer always on the go with me. A very handy app to have. Works GR8 👍🏼,us,2026-01-18T13:14:41-07:00,13649230001,5,New job,20.2.0,0,0
Whitney C 93,I have printed one time on my brand new HP Deskjet 2852e and can no longer connect anything to the printer. The app says connected and ready. I can send print jobs. Nothing is being printed.,us,2026-01-18T13:08:32-07:00,13649212824,1,Horrible,20.2.0,0,0
Easy needed,After update on Apple  changes made w no guidance to how to use update for Snr use.,us,2026-01-18T11:57:22-07:00,13649004779,2,Update,20.2.0,0,0
Gueroguerito,Perfecto,us,2026-01-18T11:05:05-07:00,13648840802,5,Muy buena,20.2.0,0,0
Christy Kelso,Scanning feature is terrible and confusing,us,2026-01-18T10:57:32-07:00,13648816357,1,Envy,20.2.0,0,0
hkmcc57,"I guess the new updates have pushed off the print settings so if you want to print both sides, it is no longer available",us,2026-01-18T09:54:18-07:00,13648609070,2,setting not correct,20.2.0,0,0
xhiyeshjhvv,"I had a bit of trouble with the setup. Mostly because I’m old and technology doesn’t like me. But, I managed to work it out and things are good now. It’s not super fast but is going to be fine for what I need.",us,2026-01-18T09:46:06-07:00,13648581899,4,Pretty good printer,20.2.0,0,0
Mike88mike88,"App sucks, printers suck, bad value. If you don’t print at all you still get charged every month and your pages never roll over. Garbage product and garbage service",us,2026-01-18T07:37:06-07:00,13648144927,1,Garbage,20.2.0,0,0
Whathechuck,The printer always seems to get an error after a a job is sent. No reason for the error nor description. It works slightly better from mobile devices but always is a struggle. Annoying. Also the subscription is stupid. I bought the printer. I shouldn’t have a fee to use my printer for eternity.,us,2026-01-18T07:28:15-07:00,13648114273,1,Printing is a struggle,20.2.0,0,0
Ohno72,"When the app is working, it works well.  When you are trying to make any changes to your account or which printer is supported, buckle up for the frustration roller coaster",us,2026-01-18T07:01:31-07:00,13648021277,3,Not quite as good,20.2.0,0,0
Grafangel1,"Once it disconnects from the internet, not even God herself can connect it again.",us,2026-01-17T23:05:34-07:00,13646719128,1,Terrible when connecting,20.2.0,0,0
Chriss9179,Such a convenient and superior app that has excellent user options!,us,2026-01-17T19:34:39-07:00,13646236202,5,Exceptional App,20.2.0,0,0
Will Lahens,The best printer in the industry I love love hp,us,2026-01-17T19:05:13-07:00,13646159662,5,BEST BEST,20.2.0,0,0
katyasblue,"i still haven’t gotta that verification code in my mail, hope you fix that and send me it. very upset i cant use my printer.",us,2026-01-17T18:51:45-07:00,13646124364,5,send my verification code!!,20.2.0,0,0
mavelfan1,Very easy to use just pick your paper u press 3 buttons and ur done😁 I would recommend,us,2026-01-17T18:14:34-07:00,13646025666,5,Use of printer,20.2.0,0,0
CW000016,This is absolutely the worst brand printer I have ever owned!,us,2026-01-17T17:21:16-07:00,13645885089,1,Too Difficult,20.2.0,0,0
UBLECK_OFFICIAL,It’s so hard trying to print something,us,2026-01-17T16:42:57-07:00,13645786626,1,So bugged app,20.2.0,0,0
Mommy345,"I love with HP makes printing so easy from getting ink, and paper delivered to your home and they have awesome printers.",us,2026-01-17T16:35:46-07:00,13645768722,5,Best printer,20.2.0,0,0
aldel93,"Works once in a blue moon. Scanning documents for the first time in months. I scanned and sent 3 documents for about 15 minutes, then the next time I tried to scan a minute later, it told me this feature isn’t available on this printer. Same printer. Garbage. NOTHING but aggravation. Waste of money.",us,2026-01-17T16:19:01-07:00,13645725530,1,Garbage Just Like The Printer,20.2.0,0,0
kkkkkkkkkjjjgfffyuhgf,"Just wish it wouldn’t stop printing and mess up what I’m printing due to that, everything else is solid (☆▽☆)",us,2026-01-17T16:14:52-07:00,13645714868,5,Good overall,20.2.0,0,0
ILoveCab,"First, I frequently can’t print because the app can’t find the printer. Second, I can’t just hit print from my phone, I have to go through the app to print. It’s completely unreliable.",us,2026-01-17T14:49:37-07:00,13645498526,1,Frequently won’t find the printer,20.2.0,0,0
Jillian982,Printer will not print directly from IPhone. I have to go into app. This is a huge inconvenience.,us,2026-01-17T12:42:17-07:00,13645161854,1,Cannot print from IPhone,20.2.0,0,0
DD and company,My old hp printer finally bit the dust. I am amazed at what I can do with my new 4200e series printer can do. It so exceeds my expectations! Thank you HP.,us,2026-01-17T11:12:37-07:00,13644901810,5,New printer after many years,20.2.0,0,0
RockMom,"The quality of the printing is very good, but getting the printer to operate is not easy. It will not work from my laptop, only my phone. And just now it asked for a password to use it! I’ve never had a password for it.",us,2026-01-17T10:45:08-07:00,13644817866,3,Wonky,20.2.0,0,0
Barefootviking,"I have the app, I’ve hardwired my laptop, I’ve tried all the wizards, I cannot print from my phone or my laptop",us,2026-01-17T09:13:00-07:00,13644521810,2,Ugh. Hateful,20.2.0,0,0
Hwrd Faquad,Terrible,us,2026-01-17T08:45:12-07:00,13644428493,1,Scanning to my PC,20.2.0,0,0
Flaco0210,First time using hp printer and I’m so amazed how fast and convenient it’s,us,2026-01-17T08:36:00-07:00,13644397295,5,Happy,20.2.0,0,0
investor 19,"При сканировании нужно пальцем область выделить, можно же автоматизировать это, но включение авто даёт четырёхугольник неправильной формы и нужно пальцем опять углы к краям документа подводить. Остальные функции не смотрел ещё.",us,2026-01-16T20:49:52-07:00,13642437936,4,МФУ HP Neverstop 1200w,20.2.0,0,0
bbeebe2,"Printer hardly ever connects correctly, have to reboot it almost every day for it to connect to WiFi.",us,2026-01-16T20:20:41-07:00,13642369948,1,Poor connection,20.2.0,0,0
Kay😪,This printer was only 50 dollars and it is the best printer I’ve ever had I use this everyday,us,2026-01-16T19:26:18-07:00,13642236346,5,Best printer for a good price,20.2.0,0,0
nevepatri07,"I joined where you get a printer that comes to you. I was told that after a two-year trial I would own the printer which the printer is only worth like $69 but after I pay it off, I’ve paid four times that amount. I was not using the printer at all, even though it comes with where they sent you out replacement ink cartridges so last month I downgraded and they still charged me for the regular amount and I was told that they will do one more month before they downgrade you. I said I just want to cancel. They told me I would pay $200 to cancel and if I wait till next month which I would have had it for a year then I would pay $100. These people are crooks. If you do not print on a regular basis, this program to lease, a printer from them is a joke and you are wasting your money.",us,2026-01-16T18:30:27-07:00,13642091775,1,crooks,20.2.0,0,0
OGTurtle1,I love hp instant ink paper and I never have to leave home,us,2026-01-16T15:24:04-07:00,13641605925,5,KC HERNANDEZ,20.2.0,0,0
BAW…..,"Works 1% of the time, if that.",us,2026-01-16T12:08:12-07:00,13641097168,1,HP poor,20.2.0,0,0
truth452,Try to force and trick you,us,2026-01-16T11:09:38-07:00,13640935473,1,Hp sucks,20.2.0,0,0
C Gerard,Purchased an 8130 printer from Costco. Good price and easy installation.,us,2026-01-16T10:04:00-07:00,13640745612,5,Installing HP8130,20.2.0,0,0
