author,content,country,date,id,rating,title,version,vote_count,vote_sum
Ardgee,"I like the app and the details. However I have a message that I haven’t completed my setup.  I go to finish it, I get to the HP+ agreement page, but there’s no way to agree or advance to the agreement.",us,2026-01-15T11:53:40-07:00,13637315321,3,Ap Bug?,20.2.0,0,0
FroznToast,"Love the new UI, though I only have printer so would be good to default to printer actions page",us,2026-01-15T11:49:48-07:00,13637304717,5,Great Update!,20.2.0,0,0
brandonskruse,HP has got to be the worst printer I’ve ever purchased. Not for printing just for problems. It says Wi-Fi connection error every month two weeks out of the month. I forget the network and re-sign in to the Wi-Fi. It still has an error exclamation over the Wi-Fi and does not work. I have to have the printer turned off sometimes for a week straight to get it to reset. Then the HP smart app on Windows cannot will not show that I have the printer connected through USB so I have to download party app to use the scanner because the HP smart app can’t find a plugged in printer to my computer. I will always never recommend an HP printer. Not for quality of print for the inability to print.,us,2026-01-15T11:09:39-07:00,13637192641,1,Lifetime problems,20.2.0,0,0
bnmcox15,Just bought this printer it direct do anything,us,2026-01-15T10:58:59-07:00,13637162507,1,This printer will not print,20.2.0,0,0
NathaliPeguero,Excellent services! 10/10,us,2026-01-15T10:39:46-07:00,13637107214,5,Excellent!!!,20.2.0,0,0
Mommashirk,Mike Smith was the best rep ever to assist me. He was patient over the hour time to get my phone and laptop to print. I was very emotional and weak as I am ill and he persevered.,us,2026-01-15T09:54:39-07:00,13636974603,5,Human help,20.2.0,0,0
chcmary,This is a replacement printer and I hate it.  Everything is simply so difficult.  All I do is jump through hoops to do a simple print.  I just printed a photo and I said 4x6 and got a full page.  It is awful.,us,2026-01-15T08:40:46-07:00,13636747244,1,Hate this printer,20.2.0,0,0
Hpisimpossa,Every time you try to set up on of these printers it takes hours and ends with calling support,us,2026-01-15T08:22:16-07:00,13636689258,1,Setup never works,20.2.0,0,0
Quomae,"The app has what is needed to print,scan and fax. Overall though. One thing I wish this printer has and it’s, being able to connect to my laptop with the cord but no disk came with purchase. Be careful on that end. Wi-Fi wise? Works flawlessly.",us,2026-01-15T08:14:06-07:00,13636663457,5,Great & easy,20.2.0,0,0
jeffsdfw,"Why can’t you replace the ink, and move on. Why do you have to waste 1/2 the cartridge before it’s starts printing correctly. This product is terrible.",us,2026-01-15T07:04:06-07:00,13636437611,1,Ink replacement and ease of print is terrible,20.2.0,0,0
Fruga1,"I sent the paper size that I need, but the system does not seem to recognize that and refuses to print out any photographs",us,2026-01-15T05:13:00-07:00,13636078228,1,Just doesn’t work,20.2.0,0,0
Rafa's Music,It is very slow when printing a doc using the APP,us,2026-01-14T20:01:28-07:00,13634824130,1,Printing slow,20.2.0,0,0
Dr. BRJ,"I live in Tallahassee and the lines at Office Depot to get a document faxed or printed usually is ridiculously crazy. I decided to invest in a HP 8135e. Best decision ever! Fax from my phone and instantly the document is sent plus a fax history log/receipt. Love it! No more long lines nor paying $2.99 to fax.
Thanks HP!",us,2026-01-14T19:49:22-07:00,13634796717,5,New Fax,20.2.0,0,0
cjharris1956,"Once you get past their AI “Holly”, they provide excellent customer service",us,2026-01-14T19:09:04-07:00,13634701492,5,Excellent service,20.2.0,0,0
Mayor 1235,Not good,us,2026-01-14T18:51:27-07:00,13634658794,1,Print quality,20.2.0,0,0
shak shak keki,Me encanta es lo mejor,us,2026-01-14T17:10:54-07:00,13634405840,5,Excelente,20.2.0,0,0
aavaloss,Omg omg omg fr fr no Charlie Kirk,us,2026-01-14T17:10:53-07:00,13634405822,5,Omg I love hp,20.2.0,0,0
MRBAWAT,Difficult to connect to internet along with it constantly wants to print pages and it wastes Ink! Dislike this a lot as it feels very scammy from HP to get you to buy more ink!,us,2026-01-14T15:32:39-07:00,13634161184,1,Stop wasting my ink!!!,20.2.0,0,0
Brad11732953,I’ve had this printer going on 6 years now and this thing is a beast. Never had any issues with it. Connects to my phone seamlessly. The HP app literally shows me the ink levels and does everything I could ever want. The ink cartridges are very common and easy to find at the store. They even have a package to send back your old used cartridges. The best part is the printer was very inexpensive brand new. I have the HP OfficeJet 5255. I will always buy HP printers.,us,2026-01-14T14:20:43-07:00,13633982245,5,Best hands down,20.2.0,0,0
Printer block,Never wants to print from my home computer,us,2026-01-14T14:05:11-07:00,13633942833,1,Do not work,20.2.0,0,0
Ahshajahsggaja,The worst app for an even worse printer,us,2026-01-14T13:37:51-07:00,13633872572,1,Just Awful,20.2.0,0,0
456?$@,"I love this app!  It’s so easy to use, even for a non-techy person like me!",us,2026-01-14T12:24:18-07:00,13633675478,5,Great app,20.2.0,0,0
