title,review,rating,userName,date,version,country
This app s-cks,Doesnt work.  Waste of time.,1,OttoSaab,2026-01-14T18:29:08-07:00,1.22.1,us
Error,After scanning and clicking done the app is reporting not enough memory error. Cannot save the file. Please fix so we can resume to use scan function on app.,1,Gu1u,2026-01-14T05:58:09-07:00,1.22.1,us
Excelente,Excelente,5,Antcint,2026-01-13T20:31:41-07:00,1.22.1,us
Never connect to wifi,"If you like typing a long network password over and over on a tiny screen with only up and down arrows, this is the printer for you!",1,BBuckler,2026-01-13T13:53:20-07:00,1.22.1,us
Can’t print BW only?,You have totally destroyed my printer not allowing me to print just BW. Holding me hostage to buy a yellow cartridge. I cannot believe you guys just killed a great experience one had with his printer for over a year. What a pathetic update. You guys suck. Truly.,1,IvannaGolfer,2026-01-11T16:59:40-07:00,1.22.1,us
I love my new (first) printer ever,So happy with my Brother printer,5,Carro 🚗,2026-01-11T07:23:25-07:00,1.22.1,us
It doesn’t work,It never wants to print. It says that it’s connected to the printer but it fails every time. I have tried to troubleshoot it several times with no luck.,2,GingerBeerd LLC,2026-01-10T06:53:19-07:00,1.22.1,us
Hard to setup,Scan option is taking me hours to fogure out. Old printer was much easier,1,Acopper,2026-01-08T17:26:08-07:00,1.22.1,us
These printers suck. They never do what they’re supposed to. They’re always broke.,I feel like going all Office Space on this printer.,1,hockinghillscabins,2026-01-08T16:44:58-07:00,1.22.1,us
Does Not Work,"App wouldn’t work to set up a printer. Tried multiple times + restarted phone, app, and the printer. Just keep getting time outs. Set up printer manually. Now the app can’t even find the printer. Web UI for the printer works fine tho. And AirPrint works too so no need for this broken app.",1,philipamour,2026-01-08T08:09:50-07:00,1.22.1,us
Few customizable print settings on machine or in app,"When we shopped for this machine, I told the salesman at Office Depot that I definitely wanted to be able to print the occasional photo at home. And I was concerned that this machine would not print adequate photos. He told me that if I printed on photo paper I wouldn’t be able to tell the difference between an inkjet and a laser printer. I printed a photo today on glossy photo paper and it does not look great. My main concern is that nowhere on the machine nor in the app, do you have an option to set the paper type for photo paper of any kind. I thought that might improve the quality of the printed photo but I guess I’ll never know.",1,Tmkos,2026-01-08T06:25:15-07:00,1.22.1,us
Worse software,Worse kind of software. Doesn’t work on iPhone or computer,1,Taahahmed,2026-01-06T15:15:35-07:00,1.22.1,us
File Name,"Ever since last update for machine software and app, I have not been able to change the file name within the scan and save process of the app.

Update after contacting support via chat.
Support is a joke. They want to know if I tried any troubleshooting steps. Really? It is awesome to know brother no longer stands by there products or customers.",1,HXT303,2026-01-06T06:48:37-07:00,1.22.1,us
