id,author,rating,title,content,version,date,country,platform,vote_count
14223463122,Creatorrio,1,Slow and expensive,Pay for the subscription but half of my prints are having to reprint due to bad quality or printing stopping half way. Connectivity issues and regardless of settings you have to mess with it so much to get it to actually print how you want it because the settings do not match that of what it is supposed t be,26.2.0,2026-06-24T23:14:30-07:00,global,iOS App Store,0
14223051713,vistor vega,1,No,No sirve,26.2.0,2026-06-24T20:16:38-07:00,global,iOS App Store,0
14222803169,Andrew29488,1,Hp printers are garbage.,"Absolutely horrible, I’m so very convinced that half of these good rescues are fake cause hp has some of the worst printers ever.",26.2.0,2026-06-24T18:40:23-07:00,global,iOS App Store,0
14222756011,Deetheclicker,1,print slow in wifi mode,print very slow in wifi mode,26.2.0,2026-06-24T18:22:35-07:00,global,iOS App Store,0
14222713242,Cotton694,1,What did you do!!!!!!,I loved the app until you “improved it”. It’s more for trying to sell me stuff I don’t want than working correctly. I used to be able to use it to correct issues with my printer. Now I’m ready to chop my printer up into tiny pieces because the app basically does not support the printer!!  I literally have to uninstall the app go to my laptop stand over my printer and reinstall everything at least once a week!  I’ve stood behind HP for many years and when the tank printer became available I was extremely excited. Now not so much!!  It’s easier to not use the app!,26.2.0,2026-06-24T18:06:37-07:00,global,iOS App Store,0
14222712870,hreaeu,1,Can’t get app or printer to work,Been at it for over an hour. Follows every instruction still have an error message. Pure junk.,26.2.0,2026-06-24T18:06:29-07:00,global,iOS App Store,0
14222423054,Belchere,5,The Best!,My HP printer has made my life so much easier. It’s simple and seldom has any issues. I’ll never use another brand again.,26.2.0,2026-06-24T16:14:39-07:00,global,iOS App Store,0
14222348002,Namingjam,1,Horrible to work with,I’ve never had so many issues setting up and WiFi printing with this HP instant ink. I will be returning it.,26.2.0,2026-06-24T15:45:45-07:00,global,iOS App Store,0
14222247987,Jaded lek,5,Easy and convenient,"I’ve had HP for over five years each time I needed something from support they are very fast,reliable and honest. The set up is very easy to follow. Just got myself a new printer in so excited about!!",26.2.0,2026-06-24T15:06:54-07:00,global,iOS App Store,0
14222044637,Madconsum3r123,1,Scanner issues,I have never been more disappointed in a piece of technology in my life. I have tried using the app to scan my documents to send as a PDF to my email. It worked once and then completely glitched. I then tried to use the scanner on the HP DeskJet and it continues to fail me.,26.2.0,2026-06-24T13:51:45-07:00,global,iOS App Store,0
