id,author,rating,title,content,version,date,country,platform,vote_count
14142836971,my.self. reviewing,1,move to epson,Malo,26.1.3,2026-06-04T05:58:46-07:00,us,iOS App Store,0
14142593905,Qwerty65441,1,Fatality Crash,Maybe this title will fix it but for days it won’t scan. Call center isn’t open I can’t scan.   Guess printers are dying like newspapers.  Stick to your phone camera scanner,26.1.3,2026-06-04T04:39:11-07:00,us,iOS App Store,0
14142020668,PrincessPJeana,1,Subscription INK,This program might be ok for some but IF you want to cancel it-good luck! I did and now I cannot get the printer to work with the store bought ink - it’s a ridiculous program to get of of and I’m not sure I would buy another HP printer again.,26.1.3,2026-06-04T00:38:06-07:00,us,iOS App Store,0
14141551071,Danapguil1,5,Printer,It’s PERFECT,26.1.3,2026-06-03T20:56:29-07:00,us,iOS App Store,0
14141236490,Lu Lu 234512074678744788,1,This printer is a not good,"Printing on this printer is brutal.  Sometimes it works, sometimes it doesn’t.   Sometimes this device works with it, sometimes it doesn’t.  But they bill me every month like clockwork- that works great!   Avoid at all costs.",26.1.3,2026-06-03T18:44:53-07:00,us,iOS App Store,0
14140470084,old crazy grandma,1,So far not great,Problems connect in the printer only wants to print 4 x 6 not 8 x 10. A real problem so far. May be returned if it doesn’t get better,26.1.3,2026-06-03T13:40:56-07:00,us,iOS App Store,0
14140463224,amen3100,1,Terrible Instructions,A simple fix to reconnect new WiFi was such a cumbersome process that I had to go to ChatGPT for support. The design is not user friendly nor is it intuitive. Hate this app,26.1.3,2026-06-03T13:38:25-07:00,us,iOS App Store,0
14140435512,Britt9109,5,Excellent,Love the app make life so much easier to use HP on the go.,26.1.3,2026-06-03T13:28:30-07:00,us,iOS App Store,0
14140322974,Old Guy trying new stuff,5,It actually prints!!,"We had an HP for years until it wore completely out. We decided to try another brand, big mistake. Epson would not communicate with WiFi no matter what we tried. Bought a Canon and it was no better and drank ink even when not in use which was a lot. Now we are back and the app immediately recognized the printer. Works great!!!",26.1.3,2026-06-03T12:48:47-07:00,us,iOS App Store,0
14139634548,maniiimoooo,5,Great Printer,I love it very much easy to work with,26.1.3,2026-06-03T09:05:29-07:00,us,iOS App Store,0
