source,date,rating,content,title,version
Google Play,2026-01-19 18:26:58,2,duh? .,,20.2.0.6076
Google Play,2026-01-19 18:02:48,1,terrible app. terrible printer. always goes offline,,20.2.0.6076
Google Play,2026-01-19 17:38:21,1,this app has and bug,,20.2.0.6076
Google Play,2026-01-19 12:00:50,5,@very difficult!,,20.2.0.6076
Google Play,2026-01-19 10:49:56,5,good and easy yo install,,20.2.0.6076
Google Play,2026-01-19 09:59:22,5,good app,,
Google Play,2026-01-19 09:21:22,1,new app does not allow full access to scan and copy functions. What kind of upgrade is this.,,20.2.0.6076
Google Play,2026-01-19 07:32:32,1,trying to hook up my WIFI to my envy6000printer on my Chromebook laptop computer it started out working then quit ! try to reset it back upa ndthe app is no longer useWht the hay do I do with this useless printer,,18.10.0.5530
Google Play,2026-01-19 07:01:44,5,awesome,,20.2.0.6076
Google Play,2026-01-19 05:43:42,1,"Very poor quality app, has turned me away from HP products entirely. It's overcomplicated and seems to do anything but let you print. Every time I use it it's forgotten who I am, and it tries very hard to trick you into signing up for unnecessary subscription services.",,20.2.0.6076
Google Play,2026-01-19 05:07:28,1,"esta aplicación es lo peor que han podido hacer, la impresora solo se puede configurar si tienes la aplicación y actualmente tengo un problema para iniciar sesión a pesar de ingresar bien mis datos de usuario y simplemente me aparece que hay problemas y no puedo ni ingresar ni imprimir ni nada de nada... felicidades por tan nefasto ecosistema Hp",,20.2.0.6076
Google Play,2026-01-18 23:21:09,1,"lag, slow loading",,20.2.0.6076
Google Play,2026-01-18 17:36:09,5,this is conection very easy,,
Google Play,2026-01-18 17:15:53,5,not easy,,20.2.0.6076
Google Play,2026-01-18 12:49:50,2,"App works fine but new UI landing page doesn't actually show any printer functionality.you have to scrol down the page or tap an icon, to do something. Very unintuitive.",,20.2.0.6076
Google Play,2026-01-18 12:10:06,1,"I can't do anything from this app. I just spent 45 minutes trying to print 2 pages of a document. 2 pages!!! and in the end, I still have not gotten this app to work for me.",,20.2.0.6076
Google Play,2026-01-18 09:05:51,1,with the new updates I can no longer connect to my printer. ridiculous.,,20.2.0.6076
Google Play,2026-01-18 05:51:26,1,rubbish. printer won't talk to new router and app just keeps asking you to join a plan. I just want to print a chuffin document for heavens sake.,,20.2.0.6076
Google Play,2026-01-18 05:31:47,1,"why do i need location, bluetooth, and other random nonsense permission for this to connect my printer in my own house.",,20.2.0.6076
Google Play,2026-01-18 04:48:23,5,very effective,,20.2.0.6076
Google Play,2026-01-18 04:08:08,1,it is not at all good,,20.2.0.6076
Google Play,2026-01-18 02:58:05,1,Not easy to scan. stupid warning messages on printer if I'm not logged in. HP has overcomplicated printing and scanning.,,20.1.2.5988
Google Play,2026-01-17 22:07:53,1,Not helped,,
